Title,Company,Location,Link,Keyword,City
Spezialist IT Sourcing  Vertragsmanagement,Deloitte,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/spezialist-it-sourcing-vertragsmanagement-m-w-d-at-deloitte-4243060690?position=31&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=Hg0hefQg%2FqT520eAQB9M2Q%3D%3D,Systemadministrator,Leipzig
IT-Consultant API-Integration,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-consultant-api-integration-all-genders-at-adesso-se-4150068286?position=32&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=%2BM47y3nphvi%2F81qmTFJ%2F0Q%3D%3D,Systemadministrator,Leipzig
IT Architect Unified Communication,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-architect-unified-communication-m-w-d-at-tietalent-4270424571?position=33&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=qgQEBoGzLxBVBUA7fP7MLg%3D%3D,Systemadministrator,Leipzig
Service-Ownerin für Automatisierung und KI,Lecos GmbH,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/service-owner-in-f%C3%BCr-automatisierung-und-ki-m-w-d-at-lecos-gmbh-4269900499?position=34&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=IMl8%2BDupgOgRpZ7YfYGsYA%3D%3D,Systemadministrator,Leipzig
Fachinformatiker für digitale Risiko Services,Deloitte,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/fachinformatiker-f%C3%BCr-digitale-risiko-services-m-w-d-at-deloitte-4243064091?position=35&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=cXFBFmyD4dcZR3rEBGUXqg%3D%3D,Systemadministrator,Leipzig
Salesforce-Experte,Experis Deutschland,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/salesforce-experte-gn-at-experis-deutschland-4269014399?position=36&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=aCGq6x5IWylYoxnvtingVQ%3D%3D,Systemadministrator,Leipzig
Kaufmännische Projektassistenz  - IT Bereich,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/kaufm%C3%A4nnische-projektassistenz-m-w-d-it-bereich-at-tietalent-4268448960?position=37&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=ddJCmi0t5n2LTZk9XiA6YQ%3D%3D,Systemadministrator,Leipzig
Managing Consultant ITOT für die Prozessindustrie,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/managing-consultant-it-ot-f%C3%BCr-die-prozessindustrie-all-genders-at-adesso-se-4243614490?position=38&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=VEvJPtu88yIzzqMuxf946A%3D%3D,Systemadministrator,Leipzig
Spezialist IT Sourcing  Vertragsmanagement  in Halle,Deloitte,"Halle, Saxony-Anhalt, Germany",https://de.linkedin.com/jobs/view/spezialist-it-sourcing-vertragsmanagement-m-w-d-in-halle-saale-at-deloitte-4243059703?position=39&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=9WbnTklCknfgU%2BN2jpRH3Q%3D%3D,Systemadministrator,Leipzig
IAM-Spezialistin,TieTalent,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/iam-spezialist-in-identit%C3%A4tsmanagement-d-m-w-at-tietalent-4269755183?position=40&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=ZaErTXNoekifUCgXiyNOiw%3D%3D,Systemadministrator,Leipzig
IT-Consultant MuleSoft,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-consultant-mulesoft-all-genders-at-adesso-se-3759774321?position=41&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=EYvTlI%2B8vhGEEQQXXFgRIg%3D%3D,Systemadministrator,Leipzig
IT-Consultant Security Regulatory,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/it-consultant-security-regulatory-all-genders-at-adesso-se-4194196355?position=43&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=%2FQnfJaeo7DBQ7kTw5pkAxQ%3D%3D,Systemadministrator,Leipzig
Einkäufer  Buyer IT,KPMG Deutschland,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/eink%C3%A4ufer-buyer-it-w-m-d-at-kpmg-deutschland-4266570072?position=44&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=A3fWJJAXYNqlowOdbcvSIw%3D%3D,Systemadministrator,Leipzig
Search Specialist WebShop Projekte,adesso SE,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/search-specialist-web-shop-projekte-all-genders-at-adesso-se-3785651352?position=45&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=72SBNCc%2FXVbd3bo1XCSolg%3D%3D,Systemadministrator,Leipzig
Consultant - IT Beratung Energiewirtschaft,PwC Deutschland,"Leipzig, Saxony, Germany",https://de.linkedin.com/jobs/view/consultant-it-beratung-energiewirtschaft-w-m-d-at-pwc-deutschland-4269424933?position=46&pageNum=0&refId=2Yvau9OY6yjxlb1MvwijMQ%3D%3D&trackingId=ht6c5ytan5AFpjy0hx4AqQ%3D%3D,Systemadministrator,Leipzig
